incident_id,date,location,category,sub_category,target_community,description,article_url,year,orig_sheet_name,orig_row_num
187,2018-09-24,Toronto,NC,race relations,white supremacists,Doug Ford Stands Behind This Photo He Took With a Group of Extremely Racist White Nationalists,"https://pressprogress.ca/doug-ford-stands-behind-this-photo-he-took-with-a-group-of-extremely-racist-white-nationalists/ 
https://www.huffingtonpost.ca/2018/09/24/doug-ford-refuses-to-denounce-white-nationalist-he-posed-with-at-bbq_a_23540529/",2018.0,2018 collection,189
188,2018-10-10,Montreal,NC,vandalism,anti-muslim,Graffiti-removal group erases defaced Muslin election sign,http://dailyhive.com/montreal/graffiti-removal-group-erases-defaces-muslim-election-poster,2018.0,2018 collection,190
189,2018-10-01,"Edmonton, Ottawa",C,"harassment, assault",not specified,"$13-million lawsuit accuses Corrections Canada of racism, sexism, bullying and intimidation",https://www.cbc.ca/news/canada/edmonton/female-prison-warden-lawsuit-corrections-canada-1.4845069,2018.0,2018 collection,191
190,2018-10-04,"Kamloops, BC",NC,race relations,anti-racism,Racism a right-wing value? B.C. teacher criticized for political worksheet,https://www.ctvnews.ca/canada/racism-a-right-wing-value-b-c-teacher-criticized-for-political-worksheet-1.4120976,2018.0,2018 collection,192
191,2018-10-04,Nova Scotia's Pictou County,C,harassment,anti-black,Man alleging he faced racism at worksite says he was purposely shot with nail gun,https://www.cbc.ca/news/canada/nova-scotia/nail-gun-shooting-racism-pictou-county-construction-site-1.4844667,2018.0,2018 collection,193
192,2018-10-04,Quebec,NC,race relations rally,anti-muslim,"As furor grows over CAQ hijab ban, anti-racism protest set for Sunday",https://montrealgazette.com/news/local-news/as-furor-grows-over-caq-hijab-ban-anti-racism-protest-set-for-sunday,2018.0,2018 collection,194
193,2018-10-06,Edmonton,NC,race relations,anti-black,Edmonton police apologize for describing girl as 'mulatto' in Amber Alert,https://www.ctvnews.ca/canada/edmonton-police-apologize-for-describing-girl-as-mulatto-in-amber-alert-1.4124507,2018.0,2018 collection,195
194,2018-10-07,Montreal,NC,vandalism,anti-racism,Montreal's John A. Macdonald statue vandalized by activists,https://montrealgazette.com/news/local-news/montreal-the-moment/montreals-john-a-macdonald-statue-spray-painted-by-activists,2018.0,2018 collection,196
195,2018-10-06,Vancouver,NC,race relations,anti-racism,"Housing, homelessness and a history of discrimination come together at 1 Vancouver intersection",https://www.cbc.ca/news/canada/british-columbia/union-gore-vancouver-1.4853062,2018.0,2018 collection,197
196,2018-10-07,Montreal,NC,race relations,anti-muslim,"Legault has got to go': Thousands in Montreal march to protest racism, incoming premier",https://www.cbc.ca/news/canada/montreal/anti-racist-demonstration-montreal-1.4854245,2018.0,2018 collection,198
197,2018-10-07,Edmonton,NC,race relations,"anti-immigration, white supremacists","Alberta's United Conservatives say hateful views have no place in their party, after photos on social media appeared to show members of an anti-immigrant group at a constituency association pub night.",https://www.ctvnews.ca/canada/ucp-rejects-hate-after-soldiers-of-odin-pose-for-pics-at-party-pub-night-1.4125085 https://www.cbc.ca/news/canada/edmonton/notley-wants-kenney-to-take-stand-against-hate-groups-1.4855795,2018.0,2018 collection,199
198,2018-10-08,Edmonton,NC,race relations rally,anti-indigenous,Cindy Gladue hearing to shine spotlight on questions about racism in Canada’s courts,https://www.theglobeandmail.com/canada/article-cindy-gladue-hearing-to-shine-spotlight-on-questions-about-racism-in/,2018.0,2018 collection,200
199,2018-10-07,Toronto,Political campaign,race relations,not specified,"Public safety, policing and racism at the forefront of fight for single council seat in Toronto’s Humber River-Black Creek riding",https://www.theglobeandmail.com/canada/toronto/article-public-safety-policing-and-racism-at-the-forefront-of-fight-for/,2018.0,2018 collection,201
200,2018-10-09,"New Glasgow, NS",NC,race relations rally,anti-racism,Anti-racism rally held after a black man was shot in the back with nail gun,https://www.cbc.ca/news/canada/nova-scotia/anti-racism-rally-new-glasgow-nail-gun-shooting-dlamini-1.4854924,2018.0,2018 collection,202
201,2018-10-09,Ontario,Military investigation,racial alligations,not specified,"Reserve force commanders dumped, racial incidents alleged: Army units in Ontario dealing with crisis in leadership",https://nationalpost.com/news/canada/reserve-force-commanders-dumped-racial-incidents-alleged-army-units-in-ontario-dealing-with-crisis-in-leadership,2018.0,2018 collection,203
202,2018-10-09,Toronto,Political campaign,race relations,white supremacists,Far-right fringe candidate in Toronto mayoral race sues Bell for refusing to air her campaign ad,https://nationalpost.com/news/canada/far-right-fringe-candidate-in-toronto-mayoral-race-sues-bell-for-refusing-to-air-her-campaign-ad,2018.0,2018 collection,204
203,2018-10-10,Hamilton,Political campaign,race relations,anti-black,Afro Caribbean members 'very disappointed' that Vito Sgro skipped their debate,https://www.cbc.ca/news/canada/hamilton/sgro-afro-canadian-1.4856566,2018.0,2018 collection,205
204,2018-10-15,Ottawa,Political,race relations,anti-racism,Ottawa holds consultations on racism behind closed doors,https://www.theglobeandmail.com/politics/article-ottawa-holds-consultations-on-racism-behind-closed-doors/,2018.0,2018 collection,206
205,2018-10-15,Edmonton,NC,race relations,white supremacists,"Soldiers of Odin Edmonton Chapter Shuts Down, Rebrands As ‘Canadian Infidels’",https://www.vice.com/en_ca/article/xw9pwj/soldiers-of-odin-edmonton-chapter-shuts-down-rebrands-as-canadian-infidels,2018.0,2018 collection,207
206,2018-10-17,Ottawa,NC,race relations,anti-racism,The Bay is selling a ‘Make Canada Great Again’ hat and the internet isn’t happy,"https://www.theloop.ca/the-bay-is-selling-a-make-canada-great-again-hat-and-the-internet-isnt-happy/ 
https://www.thestar.com/vancouver/2018/12/18/the-bay-pulls-make-canada-great-again-hats-from-pacific-centre-after-accidental-stocking.html",2018.0,2018 collection,208
207,2018-10-17,"St. Albert, AB",NC,harassment,anti-indigenous,Go back where Indians belong': St. Albert mother frightened by racist letter from neighbour,https://www.cbc.ca/news/canada/edmonton/st-albert-racism-indigenous-letter-1.4867362,2018.0,2018 collection,209
208,2018-10-16,Mississauga,C,hate crime,anti-muslim,"Mississauga mayoral candidate Kevin Johnston charged with hate crime against Muslims, case returns to court after election",https://www.mississauga.com/news-story/8965954-mississauga-mayoral-candidate-kevin-johnston-charged-with-hate-crime-against-muslims-case-returns-to-court-after-election/,2018.0,2018 collection,210
209,2018-10-19,Ottawa,Political,race relations,anti-racism,Heritage Minister Pablo Rodriguez Walks Back Remarks Questioning Systemic Racism,https://www.huffingtonpost.ca/2018/10/19/pablo-rodriguez-systemic-racism_a_23566269/,2018.0,2018 collection,211
210,2018-10-18,"Peel, ON",NC,race relations,anti-black,Ontario school board accused of pressuring teachers not to teach ‘racist’ To Kill a Mockingbird,https://lfpress.com/news/canada/ontario-school-board-accused-of-pressuring-teachers-not-to-teach-racist-to-kill-a-mockingbird/wcm/ba715ee8-71a6-4ba5-8898-0caf34812983,2018.0,2018 collection,212
211,2018-10-22,Calgary,NC,race relations,anti-indigenous,Facebook temporarily bans woman who called out store name with anti-Indigenous slur,https://www.cbc.ca/news/canada/calgary/alberta-facebook-instagram-store-controversy-1.4872175,2018.0,2018 collection,213
212,2018-10-23,Brantford,Police investigation,vandalism,anti-muslim,Police investigating hate crime after 'hateful remarks' spray painted on Brantford Mosque,https://www.cbc.ca/news/canada/hamilton/brantford-mosque-hate-crime-1.4874470,2018.0,2018 collection,214
213,2018-10-26,York,NC,race relations,anti-sikh,York school board trustee 'reconsidering' resignation after saying opponent 'not born in Canada',https://www.cbc.ca/news/canada/toronto/york-school-board-resignation-1.4879429,2018.0,2018 collection,215
214,2018-10-31,Calgary,Police investigation,hate crime,not specified,Calgary bus incident being investigated as possible hate crime,https://www.cbc.ca/news/canada/calgary/calgary-bus-assault-hate-crime-1.4886085,2018.0,2018 collection,216
215,2018-10-31,"Yarmouth, NS",NC,race relations,anti-black,NSCC apologizes for door decoration it says was racist,https://www.cbc.ca/news/canada/nova-scotia/nscc-apologizes-for-door-decoration-it-says-was-racist-1.4885803,2018.0,2018 collection,217
216,2018-10-30,Toronto,rally,race relations,anti-racism,Community groups in Toronto are calling for a planned event featuring controversial political figure Steve Bannon to be cancelled.,https://www.ctvnews.ca/canada/hate-speech-or-public-service-controversy-surrounds-steve-bannon-s-toronto-trip-1.4155683,2018.0,2018 collection,218
217,2018-10-26,Edmonton,NC,race relations,anti-black,CFL player agent shamed on social media over blackface costume,https://www.cbc.ca/news/canada/edmonton/cfl-agent-black-face-1.4880779,2018.0,2018 collection,219
218,2018-05-14,Edmonton,NC,race relations,anti-black,Alberta school division apologizes after employee dressed up in blackface,https://www.cbc.ca/news/canada/edmonton/alberta-school-division-apologizes-after-employee-dressed-up-in-blackface-1.4662255,2018.0,2018 collection,220
219,2018-10-29,Edmonton,NC,race relations,anti-indigenous,City of Edmonton urges employees to choose respectful Halloween costumes,https://www.cbc.ca/news/canada/edmonton/halloween-costume-guidelines-cultural-appropriation-metis-1.4883106,2018.0,2018 collection,221
220,2018-10-30,Calgary,Political,race relations,white supremacists,"Jason Kenney disavows former campaign worker, wants to screen prospective UCP members",https://www.cbc.ca/news/canada/edmonton/kenney-campaign-worker-controversy-1.4885151,2018.0,2018 collection,222
221,2018-11-01,Halifax,NC,hate speech,white supremacists,It's okay to be white' signs posted around Halifax,https://www.cbc.ca/news/canada/nova-scotia/okay-to-be-white-halifax-1.4887174,2018.0,2018 collection,223
222,2018-11-02,Winnipeg,NC,"hate speech, race relations","white supremacists, anti-muslim",Hate messages show up on University of Manitoba campus,https://www.cbc.ca/news/canada/manitoba/hate-messages-university-manitoba-campus-1.4889084,2018.0,2018 collection,224
223,2018-11-05,Winnipeg,C,"assault, hate seech",not specified,Winnipeg man stabbed after protecting bus passenger from racist slurs and threats,https://www.theglobeandmail.com/canada/article-winnipeg-man-stabbed-after-protecting-bus-passenger-from-racist-slurs/,2018.0,2018 collection,225
224,2018-11-02,Edmonton,NC,hate speech,anti-indigenous,First Nations mother thankful for support after woman hurled racist remarks at her on Edmonton bus,https://globalnews.ca/news/4626621/edmonton-first-nations-mother-racism/,2018.0,2018 collection,226
225,2018-11-02,"New Westminster, BC",Police investigation,hate speech,white supremacists,‘Trolling’ racially charged posters proclaiming ‘It’s okay to be white’ posted in New Westminster,https://globalnews.ca/news/4626251/trolling-racially-charged-posters-proclaiming-its-okay-to-be-white-posted-in-new-westminster/,2018.0,2018 collection,227
226,2018-11-03,Vancouver,Investigation,race relations,anti-black,B.C. casino accused of 'profiling' Drake says it stands against racism,https://www.thechronicleherald.ca/news/canada/bc-casino-accused-of-profiling-drake-says-it-stands-against-racism-256379/,2018.0,2018 collection,228
227,2018-11-02,"St. Albert, AB",NC,rally,white supremacists,Far-right group removed from anti-racism event,https://www.stalbertgazette.com/article/far-right-group-removed-from-anti-racism-event-20181102,2018.0,2018 collection,229
228,2018-11-06,Charlottetown,NC,hate speech,white supremacists,It's okay to be white' poster found in Charlottetown,https://www.cbc.ca/news/canada/prince-edward-island/pei-okay-to-be-white-charlottetown-1.4893824,2018.0,2018 collection,230
229,2018-11-06,"Toronto, Quebec",NC,rally,anti-racism,Busloads of Muslims formed human 'rings of peace' to protect synagogues in Canada,https://www.cnn.com/2018/11/06/us/rings-of-peace-toronto-trnd/index.html,2018.0,2018 collection,231
230,2018-11-08,Vancouver,NC,hate speech,"anti-asian, anti-indian",Man in MAGA hat disrupts UBC class,https://twitter.com/SGUYBRAY/status/1060709973204787200?s=19,2018.0,2018 collection,232
231,2018-11-11,Edmonton,NC,hate speech,white supremacists,Edmonton MP Kerry Diotte Threatens Legal Action Against Tweets That He's 'Racist',https://www.huffingtonpost.ca/2018/11/09/kerry-diotte-bashir-mohamed-twitter-court-legal_a_23585265/?utm_hp_ref=ca-politics,2018.0,2018 collection,233
232,2018-11-09,Edmonton,C,"vandalism, hate speech",anti-muslim,AMPAC islamophobic Graffiti at schools,https://m.facebook.com/story.php?story_fbid=2256781771217650&id=1654343418128158,2018.0,2018 collection,234
233,2018-11-07,"Chilliwack, BC",NC,race relations,anti-racism,Chilliwack anti-racism advocate ordered deported back to U.K. over his racist past,https://globalnews.ca/news/4641677/chilliwack-anti-racism-advocate-ordered-deported-back-to-u-k-over-his-racist-past/,2018.0,2018 collection,235
234,2018-11-10,Calgary,Military investigation,race relations,white supremacists,Four military members suspended over alleged connection to racist website,https://calgary.ctvnews.ca/four-military-members-suspended-over-alleged-connection-to-racist-website-1.4171877,2018.0,2018 collection,236
235,2018-11-14,Toronto,Police investigation,hate crime,anti-semitic,Jewish Teens Assaulted In Toronto Hate Crime: Police,https://www.huffingtonpost.ca/2018/11/12/jewish-hate-crime-north-toronto_a_23587752/,2018.0,2018 collection,237
236,2018-11-11,Vancouver,C,vandalism,other (antifa),Vancouver Polish church daycare vandalized on 100th anniversary of nation’s independence,https://globalnews.ca/news/4653750/vancouver-polish-church-vandalized/,2018.0,2018 collection,238
237,2018-11-14,Montreal,Human Rights tribunal,race relations,anti-black,Montreal man alleges racial profiling at Hudson's Bay,https://www.ctvnews.ca/canada/montreal-man-alleges-racial-profiling-at-hudson-s-bay-1.4177708,2018.0,2018 collection,239
238,2018-11-12,Montreal,C (pending charge),hate speech,white supremacists,Montreal police obtain warrant to arrest alleged neo-Nazi,https://montrealgazette.com/news/montreal-police-obtain-warrant-to-arrest-alleged-neo-nazi,2018.0,2018 collection,240
239,2018-11-16,"Okanagan, BC",NC,hate speech,anti-sikh,Okanagan Conservatives Facebook poster denies he’s racist,https://globalnews.ca/news/4672372/okanagan-conservatives-facebook-poster-denies-hes-racist/,2018.0,2018 collection,241
240,2018-11-19,"Kelowna, BC",C,"vandalism, hate speech",anti-sikh,Ignorance and fear': Racist graffiti at Kelowna Sikh temple draws condemnation,https://www.cbc.ca/news/canada/british-columbia/ignorance-and-fear-racist-graffiti-at-kelowna-sikh-temple-draws-condemnation-1.4912345,2018.0,2018 collection,242
241,2018-11-21,Halifax,NC,hate speech,anti-asian,Halifax restaurateur decries 'racial remarks' after road rage incident,https://o.canada.com/pmn/news-pmn/canada-news-pmn/halifax-restaurateur-decries-racial-remarks-after-road-rage-incident/wcm/28c6b465-bff3-4cab-9391-374d100dd08f,2018.0,2018 collection,243
242,2018-11-21,Toronto,Pending litigation,discrimintation at work,anti-indigenous,First female Indigenous dean of Canadian law school sues for racial discrimination,https://www.ctvnews.ca/canada/first-female-indigenous-dean-of-canadian-law-school-sues-for-racial-discrimination-1.4186803,2018.0,2018 collection,244
243,2018-11-22,Peterborough,Human Rights tribunal,"hate crime, race relations",anti-semitic,Peterborough farmers’ market allegations mirror resurgent anti-Semitism,https://www.thepeterboroughexaminer.com/opinion-story/9043664-peterborough-farmers-market-allegations-mirror-resurgent-anti-semitism/,2018.0,2018 collection,245
244,2018-11-22,Ottawa,Human Rights tribunal,discrimintation at work,anti-indian,"Police officer denied promotion because of race, hearing told",https://www.cbc.ca/news/canada/ottawa/bhatnagar-ottawa-police-human-rights-tribunal-1.4913293,2018.0,2018 collection,246
245,2018-11-22,"Peel, ON",Police investigation,hate speech,anti-immigration,Peel officer records himself making racially-charged comments during arrest,https://toronto.citynews.ca/2018/11/22/peel-police-officer-video-arrest-racism/,2018.0,2018 collection,247
246,2018-11-30,Neepawa,NC,hate speech,anti-indigenous,Peewee hockey game in Neepawa turns ugly as fans hurl racist taunts at First Nations team,https://www.cbc.ca/news/indigenous/neepawa-waywayseecappo-peewee-hockey-game-1.4924967,2018.0,2018 collection,248
247,2018-11-30,Edmonton,NC,race relations,anti-black,Edmonton hotel accused of racial discrimination against 4 young men,https://www.cbc.ca/news/canada/edmonton/discrimination-hotel-pool-access-1.4917261,2018.0,2018 collection,249
248,2018-11-29,Ottawa,NC Investigation,race relations,anti-indigenous,Lynn Beyak Posts New Letter Of Support Amid Investigation Into 'Racist' Letters,https://www.huffingtonpost.ca/2018/11/29/lynn-beyak-letters-senate-ethics-investigation_a_23604499/,2018.0,2018 collection,250
249,2018-11-28,Toronto,Pending litigation,race relations,anti-black,McGill student charged with stunt driving vows to fight ‘abusive driving while black’ OPP case,https://globalnews.ca/news/4707986/mcgill-student-stunt-driving-charges-driving-while-black-opp/,2018.0,2018 collection,251
250,2018-12-02,Toronto,Military investigation,hate speech,anti-black,"White reservist who hurled racial abuse at black soldiers won't be disciplined, Canadian Forces says",https://o.canada.com/news/white-reservist-who-hurled-racial-abuse-at-black-soldiers-wont-be-disciplined-army-decides/wcm/befde57c-d8f1-487f-b761-0e0c2031a3da,2018.0,2018 collection,252
251,2018-12-03,York,NC,hate speech,anti-black,York Region District School Board on Monday night in a backlash against a trustee-elect accused of making racist remarks during her campaign,https://www.theglobeandmail.com/canada/toronto/article-protesters-voice-concerns-about-york-school-board-trustee-elect-at/,2018.0,2018 collection,253
252,2018-12-05,London,NC,race relations,anti-black,Racist costume prompts legion to consider Halloween party ban,https://lfpress.com/news/local-news/racist-costume-prompts-legion-to-consider-halloween-party-ban,2018.0,2018 collection,254
253,2018-12-13,Halifax,NC,race relations,anti-indigenous,Indigenous poet faces racist backlash over criticism of NHL-themed totem poles,https://nationalpost.com/news/canada/aboriginal-poet-faces-backlash-for-calling-out-nhl-themed-totem-poles,2018.0,2018 collection,255
254,2018-12-12,Victoria,NC,hate speech,anti-immigration,‘Fix Canada First’ posters found at Victoria bus stops,https://www.sookenewsmirror.com/news/fix-canada-first-posters-found-at-victoria-bus-stops/,2018.0,2018 collection,256
255,2018-12-11,Edmonton,NC,hate speech,anti-indigenous,Edmonton Transit driver who stopped racist verbal tirade against young women thanked at city hall,https://globalnews.ca/news/4751153/edmonton-transit-bus-driver-racist-rant-young-women-city-hall/,2018.0,2018 collection,257
256,2018-12-11,Thunder Bay,Police investigation,race relations,anti-indigenous,Racial discrimination' clouded Thunder Bay police investigation into Indigenous woman's death,https://www.cbc.ca/news/indigenous/christina-gliddy-police-thunder-bay-1.4941154,2018.0,2018 collection,258
257,2018-12-22,Montreal,C (Quebec Human Rights and Youth Rights Commission),harassment,anti-black,"New video shows Montreal police used excessive force during arrest, couple says",https://www.cbc.ca/news/canada/montreal/excessive-force-crarr-arrest-1.4941511,2018.0,2018 collection,259
258,2018-12-16,"Edmonton, Calgary, Vancouver",NC,rally,anti-immigration,Canada's yellow-vest movement criticized for attracting extremists,https://www.straight.com/news/1178116/canadas-yellow-vest-movement-criticized-attracting-extremists,2018.0,2018 collection,260
259,2018-12-15,Quebec,C,hate crime,anti-racism,"Assault in Quebec City a possible hate crime, police say",https://www.cbc.ca/news/canada/montreal/quebec-city-assault-bar-possibly-hate-crime-1.4947953,2018.0,2018 collection,261
260,2018-12-29,Toronto,NC,race relations,anti-muslim,Toronto conference on racism will feature both anti-Islam speakers and Jewish groups,https://news.vice.com/en_ca/article/gy7n33/a-toronto-conference-on-racism-will-feature-both-anti-islam-speakers-and-jewish-groups,2018.0,2018 collection,262
261,2018-12-22,"Edmonton
Calgary
Edson
Brooks 
Medicine Hat",NC,,anti-immigration,"UN agreement, delayed pipelines protested at yellow vest rallies across Alberta",https://globalnews.ca/news/4789167/alberta-yellow-vest-rallies-protests/,2018.0,2018 collection,263
262,2018-12-22,Mississauga,NC Investigation,race relations,anti-muslim,Family asks OIPRD to investigate officer recorded making racist statements after arrest,https://www.cbc.ca/news/canada/toronto/peel-officer-racist-statements-1.4956960,2018.0,2018 collection,264
263,,Vancouver,NC,hate speech,anti-black,"Racist student video reinvestigated, following complaints original sanctions were inadequate",https://www.cbc.ca/news/canada/british-columbia/lord-byng-racist-threat-school-parents-1.5628913,,2018 collection,265
264,2019-04-08,Ottawa,NC,other,white supremacists,Facebook bans Faith Goldy and 'dangerous' alt-right groups,https://www.cbc.ca/news/politics/facebook-faith-goldy-ban-alt-right-1.5088827,2019.0,2019 collection,1
265,2019-01-02,Leduc,NC,hate speech,anti-indigenous,Indigenous family in Leduc shocked by racist letter,https://www.cbc.ca/news/canada/edmonton/leduc-indigenous-family-racist-letter-1.4964125,2019.0,2019 collection,2
266,2019-01-03,Quebec,NC,hate speech,anti-francophone,Quebec politician says criticism of Comtois is 'anti-francophone racism',https://www.ctvnews.ca/sports/quebec-politician-says-criticism-of-comtois-is-anti-francophone-racism-1.4239127,2019.0,2019 collection,3
267,2019-01-03,Montreal,NC,hate speech,anti-Indian,Radio-Canada parody mocking Trudeau’s India trip blasted as racist,https://nationalpost.com/news/politics/radio-canada-accused-of-racism-for-parody-mocking-pms-india-trip,2019.0,2019 collection,4
268,2019-01-03,Edmonton,C,vandalism,anti-muslim,Barbershop targeted with racist graffiti to host anti-racism event,https://www.cbc.ca/news/canada/edmonton/barber-shop-racist-graffiti-1.4965474,2019.0,2019 collection,5
269,2019-01-05,Cranbrook,NC,rally,anti-immigration,Yellow Vest and counter protesters demonstrate in Cranbrook,https://www.castlegarnews.com/news/yellow-vest-protesters-demonstrate-in-cranbrook/,2019.0,2019 collection,6
270,2019-01-06,Edmonton,NC,other,anti-racism,Cut Hate with Hair at Edmonton's Chop Shop draws dozens of supporters,https://www.cbc.ca/news/canada/edmonton/edmonton-chop-shop-1.4968150,2019.0,2019 collection,7
271,2019-01-07,Regina,NC,rally,other,Yellow vests not welcome at Regina oil and gas rally,https://leaderpost.com/news/local-news/yellow-vests-not-welcome-at-regina-oil-and-gas-rally,2019.0,2019 collection,8
272,2019-01-09,Thunderbay,NC,rally,anti-racism,Thunder Bay rally participants have had 'enough' of racism toward Indigenous people,https://www.cbc.ca/news/canada/thunder-bay/thunder-bay-enough-rally-1.4970390,2019.0,2019 collection,9
273,2019-01-09,Cardston,NC,hate speech,anti-indigenous,"Cardston doctor accused of racist confrontation will apologize, won't be disciplined",https://www.cbc.ca/news/canada/calgary/cardston-doctor-lloyd-clarke-controversy-1.4969118,2019.0,2019 collection,10
274,2019-01-09,Ottawa,NC,political,anti-asian,China ambassador accuses Canada and allies of racism,https://www.seattletimes.com/nation-world/nation/china-ambassador-accuses-canada-and-allies-of-racism/,2019.0,2019 collection,11
275,2019-01-09,National,NC,hate speech,anti-immigration,Canadians Made A Facebook Protest Group About Justin Trudeau And It's Full Of Death Threats,https://www.narcity.com/news/canadians-made-a-facebook-protest-group-about-justin-trudeau-and-its-full-of-death-threats,2019.0,2019 collection,12
276,2019-01-10,Gatineau,Investigation,hate speech ; political,anti-black ; anti-immigration,UPS shutters pickup location after alleged racist incident,https://www.cbc.ca/news/canada/ottawa/ups-incident-racist-comment-gatineau-1.4971293,2019.0,2019 collection,13
277,2019-01-11,Regina,NC,hate speech,anti-immigration ; anti-muslim,Man booed at Trudeau town hall for 'Christianity and Islam don't mix' remark,https://www.ctvnews.ca/politics/man-booed-at-trudeau-town-hall-for-christianity-and-islam-don-t-mix-remark-1.4249600,2019.0,2019 collection,14
278,2019-01-11,Kamloops,NC,harrassment,other,"B.C. radio host faces torrent of threats, abuse after criticizing Yellow Vest protesters",https://globalnews.ca/news/4840763/radio-host-threats-yellow-vest/,2019.0,2019 collection,15
279,2019-01-11,Edmonton,NC,rally,anti-immigration ; anti-muslim,Yellow Vest protests Alberta Legislature,https://www.cbc.ca/news/canada/edmonton/yellow-vests-canada-alberta-1.4974721,2019.0,2019 collection,16
280,2019-01-11,Merritt,C,arson,other,Suspicious fire at Merritt church considered possible hate crime,https://www.coastmountainnews.com/news/suspicious-fire-at-merritt-church-considered-possible-hate-crime/,2019.0,2019 collection,17
281,2019-01-15,Peace River,Violates International Law (UN),violates International Convention on the Elimination of All Forms of Racial Discrimination,anti-Indigenous,UN committee warns that Site C dam may violate Indigenous rights agreement,https://www.cbc.ca/news/canada/british-columbia/un-site-c-dam-indigenous-rights-agreement-1.4978411,2019.0,2019 collection,18
282,2019-01-16,Montreal,NC,cultural appropriation,anti-black,White comedian rejected for show in Montreal after dreadlocks deemed 'cultural appropriation',https://montrealgazette.com/news/canada/comedian-rejected-for-shows-after-dreadlocks-deemed-cultural-appropriation/wcm/f763f02e-4acf-49b0-ac59-cf65e282d89b,2019.0,2019 collection,19
283,2019-01-16,Burnaby,NC,hate speech,anti-indian,Burnaby South Liberal candidate quits over her racial comments about NDP leader,https://www.cbc.ca/news/canada/british-columbia/burnaby-south-candidate-karen-wang-resigns-over-social-media-comments-1.4980537,2019.0,2019 collection,20
284,2019-01-17,Flin Flon,C,hate speech,anti-indigenous,History in the making' as women who made racist posts face Indigenous mediation circle,https://www.cbc.ca/news/canada/manitoba/racist-facebook-posts-restorative-justice-1.4982510,2019.0,2019 collection,21
285,2019-01-18,Manitoba,Inquiry,discrimination at work,anti-indigenous,First Nations rally call for inquiry into racism and sexual violence from hydro workers,https://www.cbc.ca/news/canada/manitoba/first-nations-protest-manitoba-hydro-1.4984819,2019.0,2019 collection,22
286,2019-01-23,Fort McMurray,NC,hate speech,anti-indigenous,Video mocking Indigenous dance just one thread in unravelling Canada’s racism problem,https://www.thestar.com/edmonton/2019/01/23/video-mocking-indigenous-dance-just-one-thread-in-unravelling-canadas-racism-problem-researcher-says.html,2019.0,2019 collection,23
287,2019-01-24,Toronto,C,hate crime,anti-semitism,James Sears Guilty of Hate Charges,https://www.vice.com/en_ca/article/qvypjp/james-sears-editor-of-canadas-most-racist-paper-guilty-of-hate-charges,2019.0,2019 collection,24
288,2019-01-25,Edmonton,NC,hate crime,anti-muslim,Hate crimes unit consulted for investigation after Edmonton mosque visited by men known to police,https://www.cbc.ca/news/canada/edmonton/mosque-edmonton-al-rashid-police-1.4994563,2019.0,2019 collection,25
289,2019-01-25,Red Deer,NC,rally,anti-immigration ; anti-muslim,"Newcomer advocates in Red Deer, Alta., are warning that yellow vest protests are stirring up anti-immigrant sentiment",https://www.cbc.ca/news/canada/edmonton/yellow-vest-protests-red-deer-newcomers-1.4993394,2019.0,2019 collection,26
290,2019-01-26,Halifax,NC,rally,anti-black,Dalhousie students protested the welcoming reception for incoming president Peter MacKinnon.,https://www.halifaxexaminer.ca/featured/racist-full-stop/,2019.0,2019 collection,27
291,2019-01-28,Edmonton,NC,hate speech,anti-asian,Edmonton woman shocked to find racist note on her car,https://globalnews.ca/news/4897898/edmonton-racist-note-on-car/,2019.0,2019 collection,28
292,2019-01-30,Edmonton,C,hate crime ; political,anti-muslim,UCP denounces racist letter sent to Edmonton mosque after party logo used,https://edmontonjournal.com/news/politics/ucp-denounces-racist-letter-sent-to-edmonton-mosque-after-party-logo-used,2019.0,2019 collection,29
293,2019-02-01,Quebec City,NC,hate speech,anti-muslim,Quebec Premier François Legault’s declaration that Islamophobia does not exist in the province,https://www.theglobeandmail.com/canada/article-legault-seeks-to-clarify-islamaphobia-comments/,2019.0,2019 collection,30
294,2019-02-02,Halifax,NC,hate speech,anti-black ; anti-semitic,Dalhousie's interim president stirs controversy with book on campus dissent,https://www.thechronicleherald.ca/news/canada/dalhousies-interim-president-stirs-controversy-with-book-on-campus-dissent-280812/,2019.0,2019 collection,31
295,2019-02-03,Quebec,NC,political,anti-black,MP says feds slow to act on anti-Black racism one year after Trudeau pledge,https://www.thestar.com/news/canada/2019/02/03/mp-says-feds-slow-to-act-on-anti-black-racism-one-year-after-trudeau-pledge.html,2019.0,2019 collection,32
296,2019-02-03,Winnipeg,C,vandalism,anti-semitism,Winnipeg restaurant vandalized with anti-Semitic graffiti,https://www.cbc.ca/news/canada/manitoba/bermax-cafe-anti-semitic-1.5004245,2019.0,2019 collection,33
297,2019-02-03,Winnipeg,C,vandalism,anti-semitism,kosher Italian restaurant in Canada was vandalized with anti-Semitic graffiti for the second time in several weeks.,https://www.jpost.com/Diaspora/Kosher-restaurant-in-Canada-hit-with-second-antisemitic-attack-579821,2019.0,2019 collection,34
298,2019-02-06,Ottawa,NC,political,anti-semitism,"Maxime Bernier defends right-hand man after accusations of 'antisemitism, misogyny, and racism'",https://nationalpost.com/news/politics/maxime-bernier-defends-right-hand-man-after-accusations-of-antisemitism-misogyny-and-racism,2019.0,2019 collection,35
