type,name,population_centre_size_group,population_centre_type,province,prov_code,location_label,geocode_query,population_2016
Population centre,Mitchell,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Mitchell, MB","Mitchell, MB, Canada",2523
Population centre,Moose Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Moose Lake, MB","Moose Lake, MB, Canada",1225
Population centre,Morden,"Small population centre (1,000 to 29,999)",Fringe,Manitoba,MB,"Morden, MB","Morden, MB, Canada",7907
Population centre,Morris,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Morris, MB","Morris, MB, Canada",1714
Population centre,Neepawa,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Neepawa, MB","Neepawa, MB, Canada",3939
Population centre,Niverville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Niverville, MB","Niverville, MB, Canada",4083
Population centre,Oak Bluff,"Small population centre (1,000 to 29,999)",Fringe,Manitoba,MB,"Oak Bluff, MB","Oak Bluff, MB, Canada",1051
Population centre,Oakbank,"Small population centre (1,000 to 29,999)",Fringe,Manitoba,MB,"Oakbank, MB","Oakbank, MB, Canada",4604
Population centre,Pinawa,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Pinawa, MB","Pinawa, MB, Canada",1331
Population centre,Portage la Prairie,"Small population centre (1,000 to 29,999)",Core,Manitoba,MB,"Portage la Prairie, MB","Portage la Prairie, MB, Canada",12949
Population centre,Rivers,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Rivers, MB","Rivers, MB, Canada",1257
Population centre,Roblin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Roblin, MB","Roblin, MB, Canada",1614
Population centre,Russell,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Russell, MB","Russell, MB, Canada",1395
Population centre,Selkirk,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Selkirk, MB","Selkirk, MB, Canada",9839
Population centre,Shilo CFB-BFC,"Small population centre (1,000 to 29,999)",Fringe,Manitoba,MB,"Shilo CFB-BFC, MB","Shilo CFB-BFC, MB, Canada",1419
Population centre,Souris,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Souris, MB","Souris, MB, Canada",1876
Population centre,St-Pierre-Jolys,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"St-Pierre-Jolys, MB","St-Pierre-Jolys, MB, Canada",1170
Population centre,St. Adolphe,"Small population centre (1,000 to 29,999)",Fringe,Manitoba,MB,"St. Adolphe, MB","St. Adolphe, MB, Canada",1362
Population centre,St. Theresa Point,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"St. Theresa Point, MB","St. Theresa Point, MB, Canada",1038
Population centre,Ste. Anne,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Ste. Anne, MB","Ste. Anne, MB, Canada",2114
Population centre,Steinbach,"Small population centre (1,000 to 29,999)",Core,Manitoba,MB,"Steinbach, MB","Steinbach, MB, Canada",14753
Population centre,Stonewall,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Stonewall, MB","Stonewall, MB, Canada",4644
Population centre,Stony Mountain,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Stony Mountain, MB","Stony Mountain, MB, Canada",1800
Population centre,Swan River,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Swan River, MB","Swan River, MB, Canada",3964
Population centre,Teulon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Teulon, MB","Teulon, MB, Canada",1095
Population centre,The Pas,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"The Pas, MB","The Pas, MB, Canada",5368
Population centre,Thompson,"Small population centre (1,000 to 29,999)",Core,Manitoba,MB,"Thompson, MB","Thompson, MB, Canada",12878
Population centre,Virden,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Virden, MB","Virden, MB, Canada",3082
Population centre,Winkler,"Small population centre (1,000 to 29,999)",Core,Manitoba,MB,"Winkler, MB","Winkler, MB, Canada",14311
Population centre,Winnipeg,"Large urban population centre (100,000 or more)",Core,Manitoba,MB,"Winnipeg, MB","Winnipeg, MB, Canada",711925
Population centre,Flin Flon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,MB,"Flin Flon, MB","Flin Flon, MB, Canada",4791
Population centre,Flin Flon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,SK,"Flin Flon, SK","Flin Flon, SK, Canada",4791
Population centre,Bathurst,"Small population centre (1,000 to 29,999)",Core,New Brunswick,NB,"Bathurst, NB","Bathurst, NB, Canada",15557
Population centre,Bouctouche,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Bouctouche, NB","Bouctouche, NB, Canada",1722
Population centre,Campbellton (New Brunswick part),,,New Brunswick,NB,"Campbellton (New Brunswick part), NB","Campbellton (New Brunswick part), NB, Canada",8780
Population centre,Caraquet,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Caraquet, NB","Caraquet, NB, Canada",3108
Population centre,Chatham - Douglastown,"Small population centre (1,000 to 29,999)",Core,New Brunswick,NB,"Chatham - Douglastown, NB","Chatham - Douglastown, NB, Canada",11329
Population centre,Dalhousie,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Dalhousie, NB","Dalhousie, NB, Canada",2351
Population centre,Edmundston,"Small population centre (1,000 to 29,999)",Core,New Brunswick,NB,"Edmundston, NB","Edmundston, NB, Canada",12086
Population centre,Fredericton,"Medium population centre (30,000 to 99,999)",Core,New Brunswick,NB,"Fredericton, NB","Fredericton, NB, Canada",59405
Population centre,Grand Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Grand Falls, NB","Grand Falls, NB, Canada",4221
Population centre,Hampton,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"Hampton, NB","Hampton, NB, Canada",3436
Population centre,McEwen,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"McEwen, NB","McEwen, NB, Canada",1462
Population centre,Moncton,"Large urban population centre (100,000 or more)",Core,New Brunswick,NB,"Moncton, NB","Moncton, NB, Canada",108620
Population centre,New Maryland,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"New Maryland, NB","New Maryland, NB, Canada",2219
Population centre,Oromocto,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Oromocto, NB","Oromocto, NB, Canada",8805
Population centre,Quispamsis - Rothesay,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"Quispamsis - Rothesay, NB","Quispamsis - Rothesay, NB, Canada",24445
Population centre,Richibucto 15,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Richibucto 15, NB","Richibucto 15, NB, Canada",1053
Population centre,Sackville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Sackville, NB","Sackville, NB, Canada",2963
Population centre,Saint Andrews,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Saint Andrews, NB","Saint Andrews, NB, Canada",1501
Population centre,Saint John,"Medium population centre (30,000 to 99,999)",Core,New Brunswick,NB,"Saint John, NB","Saint John, NB, Canada",58341
Population centre,Saint-Antoine,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Saint-Antoine, NB","Saint-Antoine, NB, Canada",1252
Population centre,Saint-Quentin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Saint-Quentin, NB","Saint-Quentin, NB, Canada",2194
Population centre,Salisbury,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"Salisbury, NB","Salisbury, NB, Canada",1534
Population centre,Shediac,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Shediac, NB","Shediac, NB, Canada",7184
Population centre,Shippagan,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Shippagan, NB","Shippagan, NB, Canada",2130
Population centre,St. Leonard,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"St. Leonard, NB","St. Leonard, NB, Canada",1099
Population centre,St. Stephen,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"St. Stephen, NB","St. Stephen, NB, Canada",3233
Population centre,Starlight Village,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"Starlight Village, NB","Starlight Village, NB, Canada",2127
Population centre,Sussex,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Sussex, NB","Sussex, NB, Canada",5298
Population centre,Tracadie-Sheila,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Tracadie-Sheila, NB","Tracadie-Sheila, NB, Canada",3184
Population centre,Wells,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,NB,"Wells, NB","Wells, NB, Canada",1266
Population centre,Woodstock,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,NB,"Woodstock, NB","Woodstock, NB, Canada",4277
Population centre,Campbellton,"Small population centre (1,000 to 29,999)",Core,New Brunswick,NB,"Campbellton, NB","Campbellton, NB, Canada",10716
Population centre,Campbellton,"Small population centre (1,000 to 29,999)",Core,Quebec,QC,"Campbellton, QC","Campbellton, QC, Canada",10716
Population centre,Bay Roberts,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,NL,"Bay Roberts, NL","Bay Roberts, NL, Canada",7100
Population centre,Bishop's Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Bishop's Falls, NL","Bishop's Falls, NL, Canada",2581
Population centre,Bonavista,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Bonavista, NL","Bonavista, NL, Canada",3140
Population centre,Botwood,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Botwood, NL","Botwood, NL, Canada",2763
Population centre,Burgeo,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Burgeo, NL","Burgeo, NL, Canada",1307
Population centre,Carbonear,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Carbonear, NL","Carbonear, NL, Canada",6520
Population centre,Channel-Port aux Basques,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Channel-Port aux Basques, NL","Channel-Port aux Basques, NL, Canada",3665
Population centre,Clarenville-Shoal Harbour,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Clarenville-Shoal Harbour, NL","Clarenville-Shoal Harbour, NL, Canada",5809
Population centre,Corner Brook,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,NL,"Corner Brook, NL","Corner Brook, NL, Canada",19547
Population centre,Deer Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Deer Lake, NL","Deer Lake, NL, Canada",4602
Population centre,Fortune,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Fortune, NL","Fortune, NL, Canada",1007
Population centre,Gander,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,NL,"Gander, NL","Gander, NL, Canada",10220
Population centre,Grand Bank,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Grand Bank, NL","Grand Bank, NL, Canada",2230
Population centre,Grand Falls-Windsor,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,NL,"Grand Falls-Windsor, NL","Grand Falls-Windsor, NL, Canada",12046
Population centre,Happy Valley-Goose Bay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Happy Valley-Goose Bay, NL","Happy Valley-Goose Bay, NL, Canada",6408
Population centre,Humber Arm South,"Small population centre (1,000 to 29,999)",Fringe,Newfoundland and Labrador,NL,"Humber Arm South, NL","Humber Arm South, NL, Canada",1168
Population centre,Labrador City,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Labrador City, NL","Labrador City, NL, Canada",8622
Population centre,Lewisporte,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Lewisporte, NL","Lewisporte, NL, Canada",2174
Population centre,Marystown,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Marystown, NL","Marystown, NL, Canada",2697
Population centre,Massey Drive,"Small population centre (1,000 to 29,999)",Fringe,Newfoundland and Labrador,NL,"Massey Drive, NL","Massey Drive, NL, Canada",1632
Population centre,Pasadena,"Small population centre (1,000 to 29,999)",Fringe,Newfoundland and Labrador,NL,"Pasadena, NL","Pasadena, NL, Canada",2800
Population centre,Placentia,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Placentia, NL","Placentia, NL, Canada",1553
Population centre,Springdale,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Springdale, NL","Springdale, NL, Canada",2080
Population centre,St. Anthony,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"St. Anthony, NL","St. Anthony, NL, Canada",2049
Population centre,St. John's,"Large urban population centre (100,000 or more)",Core,Newfoundland and Labrador,NL,"St. John's, NL","St. John's, NL, Canada",178427
Population centre,Stephenville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Stephenville, NL","Stephenville, NL, Canada",7114
Population centre,Upper Island Cove,"Small population centre (1,000 to 29,999)",Fringe,Newfoundland and Labrador,NL,"Upper Island Cove, NL","Upper Island Cove, NL, Canada",1142
Population centre,Wabana,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,NL,"Wabana, NL","Wabana, NL, Canada",1325
Population centre,Fort Smith,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Northwest Territories,NT,"Fort Smith, NT","Fort Smith, NT, Canada",2031
Population centre,Hay River,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Northwest Territories,NT,"Hay River, NT","Hay River, NT, Canada",2728
Population centre,Inuvik,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Northwest Territories,NT,"Inuvik, NT","Inuvik, NT, Canada",3140
Population centre,Yellowknife,"Small population centre (1,000 to 29,999)",Core,Northwest Territories,NT,"Yellowknife, NT","Yellowknife, NT, Canada",18884
Population centre,Amherst,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Amherst, NS","Amherst, NS, Canada",9550
Population centre,Antigonish,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Antigonish, NS","Antigonish, NS, Canada",5002
Population centre,Berwick,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Berwick, NS","Berwick, NS, Canada",2449
Population centre,Bridgewater,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Bridgewater, NS","Bridgewater, NS, Canada",8532
Population centre,Brookside,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Brookside, NS","Brookside, NS, Canada",1441
Population centre,Cape Breton - Sydney,"Small population centre (1,000 to 29,999)",Core,Nova Scotia,NS,"Cape Breton - Sydney, NS","Cape Breton - Sydney, NS, Canada",29904
Population centre,Centreville,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Centreville, NS","Centreville, NS, Canada",1129
Population centre,Chester,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Chester, NS","Chester, NS, Canada",1458
Population centre,Digby,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Digby, NS","Digby, NS, Canada",2060
Population centre,Enfield - Lantz,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Enfield - Lantz, NS","Enfield - Lantz, NS, Canada",6807
Population centre,English Corner,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"English Corner, NS","English Corner, NS, Canada",1151
Population centre,Eskasoni 3,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Eskasoni 3, NS","Eskasoni 3, NS, Canada",2120
Population centre,Glace Bay,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Glace Bay, NS","Glace Bay, NS, Canada",17556
Population centre,Halifax,"Large urban population centre (100,000 or more)",Core,Nova Scotia,NS,"Halifax, NS","Halifax, NS, Canada",316701
Population centre,Hantsport,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Hantsport, NS","Hantsport, NS, Canada",1560
Population centre,Hayes Subdivision,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Hayes Subdivision, NS","Hayes Subdivision, NS, Canada",1121
Population centre,Howie Centre,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Howie Centre, NS","Howie Centre, NS, Canada",1733
Population centre,Inverness,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Inverness, NS","Inverness, NS, Canada",1248
Population centre,Kentville,"Small population centre (1,000 to 29,999)",Core,Nova Scotia,NS,"Kentville, NS","Kentville, NS, Canada",12088
Population centre,Kingston - Greenwood,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Kingston - Greenwood, NS","Kingston - Greenwood, NS, Canada",6879
Population centre,Lake Echo,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Lake Echo, NS","Lake Echo, NS, Canada",2515
Population centre,Liverpool,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Liverpool, NS","Liverpool, NS, Canada",2549
Population centre,Lunenburg,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Lunenburg, NS","Lunenburg, NS, Canada",2085
Population centre,Middleton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Middleton, NS","Middleton, NS, Canada",1391
Population centre,New Glasgow,"Small population centre (1,000 to 29,999)",Core,Nova Scotia,NS,"New Glasgow, NS","New Glasgow, NS, Canada",18665
Population centre,New Waterford,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"New Waterford, NS","New Waterford, NS, Canada",7344
Population centre,Pictou,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Pictou, NS","Pictou, NS, Canada",2711
Population centre,Port Hawkesbury,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Port Hawkesbury, NS","Port Hawkesbury, NS, Canada",3004
Population centre,Port Williams,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Port Williams, NS","Port Williams, NS, Canada",1120
Population centre,Shelburne,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Shelburne, NS","Shelburne, NS, Canada",1330
Population centre,Springhill,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Springhill, NS","Springhill, NS, Canada",2743
Population centre,Still Water Lake,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Still Water Lake, NS","Still Water Lake, NS, Canada",1586
Population centre,Sydney Mines,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,NS,"Sydney Mines, NS","Sydney Mines, NS, Canada",12823
Population centre,Truro,"Small population centre (1,000 to 29,999)",Core,Nova Scotia,NS,"Truro, NS","Truro, NS, Canada",22954
Population centre,Windsor,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Windsor, NS","Windsor, NS, Canada",5248
Population centre,Wolfville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Wolfville, NS","Wolfville, NS, Canada",4195
Population centre,Yarmouth,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,NS,"Yarmouth, NS","Yarmouth, NS, Canada",7217
Population centre,Arviat,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Arviat, NU","Arviat, NU, Canada",2514
Population centre,Baker Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Baker Lake, NU","Baker Lake, NU, Canada",1690
Population centre,Cambridge Bay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Cambridge Bay, NU","Cambridge Bay, NU, Canada",1619
Population centre,Gjoa Haven,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Gjoa Haven, NU","Gjoa Haven, NU, Canada",1197
Population centre,Iqaluit,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Iqaluit, NU","Iqaluit, NU, Canada",7082
Population centre,Kugluktuk,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Kugluktuk, NU","Kugluktuk, NU, Canada",1057
Population centre,Rankin Inlet,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,NU,"Rankin Inlet, NU","Rankin Inlet, NU, Canada",2441
Population centre,Acton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Acton, ON","Acton, ON, Canada",9462
Population centre,Alexandria,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Alexandria, ON","Alexandria, ON, Canada",2845
Population centre,Alfred,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Alfred, ON","Alfred, ON, Canada",1185
Population centre,Alliston,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Alliston, ON","Alliston, ON, Canada",18809
Population centre,Almonte,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Almonte, ON","Almonte, ON, Canada",5039
Population centre,Amherstburg,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Amherstburg, ON","Amherstburg, ON, Canada",13910
Population centre,Amigo Beach,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Amigo Beach, ON","Amigo Beach, ON, Canada",1545
Population centre,Angus - Borden CFB-BFC,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Angus - Borden CFB-BFC, ON","Angus - Borden CFB-BFC, ON, Canada",12640
Population centre,Arnprior,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Arnprior, ON","Arnprior, ON, Canada",10426
Population centre,Arthur,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Arthur, ON","Arthur, ON, Canada",2333
Population centre,Atikokan,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Atikokan, ON","Atikokan, ON, Canada",1944
Population centre,Attawapiskat 91A,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Attawapiskat 91A, ON","Attawapiskat 91A, ON, Canada",1501
Population centre,Aylmer,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Aylmer, ON","Aylmer, ON, Canada",7621
Population centre,Ayr,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Ayr, ON","Ayr, ON, Canada",4171
Population centre,Azilda,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Azilda, ON","Azilda, ON, Canada",4663
Population centre,Ballantrae,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Ballantrae, ON","Ballantrae, ON, Canada",3223
Population centre,Barrie,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Barrie, ON","Barrie, ON, Canada",145614
Population centre,Barry's Bay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Barry's Bay, ON","Barry's Bay, ON, Canada",1259
Population centre,Bath,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Bath, ON","Bath, ON, Canada",1180
Population centre,Bayfield,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Bayfield, ON","Bayfield, ON, Canada",1112
Population centre,Beamsville,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Beamsville, ON","Beamsville, ON, Canada",11834
Population centre,Beaverton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Beaverton, ON","Beaverton, ON, Canada",2822
Population centre,Beeton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Beeton, ON","Beeton, ON, Canada",3891
Population centre,Belleville,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Belleville, ON","Belleville, ON, Canada",67666
Population centre,Belmont,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Belmont, ON","Belmont, ON, Canada",1140
Population centre,Binbrook,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Binbrook, ON","Binbrook, ON, Canada",8794
Population centre,Blenheim,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Blenheim, ON","Blenheim, ON, Canada",4344
Population centre,Blind River,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Blind River, ON","Blind River, ON, Canada",2284
Population centre,Bobcaygeon,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Bobcaygeon, ON","Bobcaygeon, ON, Canada",3525
Population centre,Bolton,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Bolton, ON","Bolton, ON, Canada",26378
Population centre,Bourget,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Bourget, ON","Bourget, ON, Canada",1169
