Incident ID,Article URL,Incident Description,Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Notes
289,https://www.cbc.ca/news/canada/edmonton/yellow-vest-protests-red-deer-newcomers-1.4993394,"Newcomer advocates in Red Deer, Alta., are warning that yellow vest protests are stirring up anti-immigrant sentiment",2019-01-25,Alberta,Red Deer,,Non-Criminal,Other/Unknown,,East Asian,,,China,,,,,,"Religious discrimination: Islamophobia, Xenophobia",,,
290,https://www.halifaxexaminer.ca/featured/racist-full-stop/,Dalhousie students protested the welcoming reception for incoming president Peter MacKinnon.,2019-01-26,Nova Scotia,Halifax,,Non-Criminal,Male,,Black/African/Caribbean,Anguilla,,,,,,,,,Workplace,Vandalism,
291,https://globalnews.ca/news/4897898/edmonton-racist-note-on-car/,Edmonton woman shocked to find racist note on her car,2019-01-28,Alberta,Edmonton,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,,,Hate speech: Other,
292,https://edmontonjournal.com/news/politics/ucp-denounces-racist-letter-sent-to-edmonton-mosque-after-party-logo-used,UCP denounces racist letter sent to Edmonton mosque after party logo used,2019-01-30,Alberta,Edmonton,,Criminal: Unknown,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Islamophobia,Politics,Hate speech: Letter/flyer,
293,https://www.theglobeandmail.com/canada/article-legault-seeks-to-clarify-islamaphobia-comments/,Quebec Premier François Legault’s declaration that Islamophobia does not exist in the province,2019-02-01,Quebec,Quebec City,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
294,https://www.thechronicleherald.ca/news/canada/dalhousies-interim-president-stirs-controversy-with-book-on-campus-dissent-280812/,Dalhousie's interim president stirs controversy with book on campus dissent,2019-02-02,Nova Scotia,Halifax,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,,Hate speech: Other,
295,https://www.thestar.com/news/canada/2019/02/03/mp-says-feds-slow-to-act-on-anti-black-racism-one-year-after-trudeau-pledge.html,MP says feds slow to act on anti-Black racism one year after Trudeau pledge,2019-02-03,Quebec,,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,Niger,,,,,,,,,Politics,Harassment: Other,
296,https://www.cbc.ca/news/canada/manitoba/bermax-cafe-anti-semitic-1.5004245,Winnipeg restaurant vandalized with anti-Semitic graffiti,2019-02-03,Manitoba,Winnipeg,,Criminal: Unknown,,,Central Asian,,Turkmenistan,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,
297,https://www.jpost.com/Diaspora/Kosher-restaurant-in-Canada-hit-with-second-antisemitic-attack-579821,kosher Italian restaurant in Canada was vandalized with anti-Semitic graffiti for the second time in several weeks.,2019-02-03,Manitoba,Winnipeg,,Criminal: Unknown,,,Central Asian,,,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,
298,https://nationalpost.com/news/politics/maxime-bernier-defends-right-hand-man-after-accusations-of-antisemitism-misogyny-and-racism,"Maxime Bernier defends right-hand man after accusations of 'antisemitism, misogyny, and racism'",2019-02-06,Ontario,Ottawa,,Non-Criminal,,,Central Asian,,,,,,,,,Religious discrimination: Anti-Semitism,Politics,Harassment: Carding,
299,https://www.cbc.ca/news/politics/parliament-hill-racist-allegations-1.5010748,"Groups allege black visitors to Parliament Hill were called 'dark-skinned,' asked to leave cafeteria",2019-02-07,Ontario,Ottawa,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Islamophobia,Environmental racism,Hate speech: Other,
300,https://www.huffingtonpost.ca/2019/02/13/mediation-circle-recommends-indigenous-community-service-for-racist-facebook-post_a_23669149/,Mediation Circle Recommends Indigenous Community Service For Racist Facebook Post,2019-02-13,Manitoba,,,Criminal: Unknown,,,Indigenous,,,,First Nations,,,,,Religious discrimination: Other,Online: Social media,Hate speech: Other,
301,https://www.huffingtonpost.ca/2019/03/01/yannick-lemay-jody-wilson-raybould_a_23681852/,Reaction To Racist Wilson-Raybould Caricature,2019-03-01,Quebec,,,Non-Criminal,,,Indigenous,,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",,Hate speech: Other,
302,https://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-oxford-n-word-fight-investigation-1.5043690,High school fight involving N-word and administrator's response under review,2019-03-05,Ontario,Waterloo,,Criminal: Charged,,,Black/African/Caribbean,Guadeloupe,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Educational institute: K-12,Hate speech: Other,
303,https://winnipeg.ctvnews.ca/taxi-company-takes-actions-to-make-amends-after-driver-s-anti-semitic-racist-comments-1.4324835,Taxi company takes actions to make amends after driver's anti-Semitic,2019-03-06,Manitoba,Winnipeg,,Non-Criminal,,,Latin American,,,,,Peru,,,,Religious discrimination: Anti-Semitism,Protective services: Military,Hate speech: Other,
304,https://www.citynews1130.com/2019/03/07/vancouver-councillor-racism-email/,Vancouver councillor exposes racist email,2019-03-07,British Columbia,Vancouver,,Non-Criminal,,,"Central Asian, Middle Eastern",,Iran,,,,,,,Xenophobia,,Hate speech: Other,
305,https://www.cbc.ca/news/canada/new-brunswick/racist-book-school-scalping-1.5009411,Book with racist passage at Rexton school prompts apology from education minister,2019-03-08,New Brunswick,Saint John,,Non-Criminal,,,Indigenous,,,,Métis,,,,,Religious discrimination: Islamophobia,Educational institute: Other,Hate speech: Other,
306,https://globalnews.ca/news/4942344/united-stand-against-racism-halifax/,Halifax group takes ‘united stand against racism’ following incident on Parliament Hill,2019-03-08,Nova Scotia,Halifax,,Non-Criminal,Male,,Black/African/Caribbean,Lesotho,,,,,,,,,Environmental racism,Harassment: Racial profiling,
307,https://o.canada.com/pmn/news-pmn/canada-news-pmn/n-s-man-settles-racial-discrimination-complaint-after-alleged-nail-gun-shooting/wcm/ccdbfaf2-8881-4025-80ee-4e5d3912dbde,N.S. man settles racial discrimination complaint after alleged nail-gun shooting,2019-03-12,Nova Scotia,,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,,
308,https://www.cbc.ca/news/canada/toronto/two-provincial-employees-sue-province-over-alleged-systemic-racism-1.5057362,Two provincial employees sue for $26M alleging 'anti-black' racism,2019-03-14,Ontario,Toronto,,Criminal: Not charged,,,Black/African/Caribbean,,,,,,,,,,,Other,
309,https://www.thepostmillennial.com/the-media-needs-to-settle-down-scheers-statement-was-not-a-dog-whistle/,Scheer accused of racism for leaving out 'muslim' in his statement following the New Zealand massacre,2019-03-14,Ontario,Ottawa,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Islamophobia,Politics,Harassment: Carding,
310,https://www.straight.com/news/1215146/broadcasting-group-calls-rcmp-probe-facebook-and-youtube-airing-murderous-attacks,Broadcasting group calls for RCMP probe of Facebook and YouTube for airing murderous attacks in Christchurch,2019-03-14,Ontario,Ottawa,,Criminal: Not charged,,,"Central Asian, Middle Eastern",,,,,,Azerbaijan,,,Religious discrimination: Islamophobia,Online: Social media,Hate speech: Other,
311,https://www.straight.com/news/1215686/new-zealand-mass-shooting-fires-anti-racism-protests-vancouver-and-across-canada,New Zealand mass shooting fires up anti-racism protests across Canada,2019-03-14,British Columbia,Vancouver,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Environmental racism,,
312,https://www.cbc.ca/news/canada/edmonton/fort-mcmurray-hockey-team-forfeits-1.5020317,Fort McMurray hockey team forfeits season after backlash over 'disrespectful' video,2019-03-15,Alberta,Fort McMurray,,Non-Criminal,Male,,Indigenous,,,,,,,,,,Sports: Hockey,Hate speech: Other,
313,https://globalnews.ca/news/4965204/trudeau-condemns-sexist-racist-comments-jody-wilson-raybould/,"Justin Trudeau condemns ‘sexist, racist’ comments about Jody Wilson-Raybould’s character",2019-03-15,Ontario,Ottawa,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,Sexism,Politics,Hate speech: Other,
314,https://www.cbc.ca/news/indigenous/quebec-women-petition-indian-act-discrimination-1.5021627,Quebec women's group petitions Canada to end residual sex-based discrimination in the Indian Act,2019-03-15,Quebec,,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,Sexism,Protective services: Peace officers,Other,
315,https://www.cbc.ca/news/canada/toronto/anti-semitic-graffiti-western-technical-school-1.5057758,Toronto police probe anti-Semitic graffiti found on west-end high school,2019-03-15,Ontario,Toronto,,Criminal: Not charged,,,"Black/African/Caribbean, Indigenous",Bermuda,,,,,,,,Religious discrimination: Anti-Semitism,Educational institute: K-12,Hate speech: Other,
316,https://www.cbc.ca/news/canada/toronto/it-s-a-tragedy-provincial-funding-cut-puts-an-end-to-school-programming-that-combats-racism-1.5055731,Provincial funding cut puts an end to school programming that combats racism,2019-03-15,Ontario,Mississauga,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,First Nations,,,,,Religious discrimination: Other,"Educational institute: Other, Politics",Hate speech: Letter/flyer,
317,https://ottawacitizen.com/news/local-news/police-step-up-patrols-at-ottawa-mosques-after-christchurch-attacks,"Police step up patrols at Ottawa mosques, chief sends open letter to faith leaders after Christchurch attacks",2019-03-15,Ontario,Ottawa,,Non-Criminal,Other/Unknown,,East Asian,,,Taiwan,,,,,,,Politics,,
318,https://www.cbc.ca/news/canada/british-columbia/bc-first-province-wide-open-mosque-day-1.5022142,Mosques open across B.C.,2019-03-16,British Columbia,,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,,,,
319,https://www.thewhig.com/news/local-news/yellow-vests-protestors-face-off-in-kingston,"Yellow Vests, protesters face off in Kingston",2019-03-16,Ontario,Kingston,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia",,Hate speech: Rally/protest,
320,https://www.cbc.ca/news/canada/newfoundland-labrador/hasan-hai-racist-facebook-comments-1.5023426,"Hateful, racist personal attacks",2019-03-18,Newfoundland and Labrador,,,Criminal: Not charged,,,"Black/African/Caribbean, Indigenous",,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
321,https://www.cbc.ca/news/politics/truck-convoy-red-deer-ottawa-arnprior-1.5023646,Pro-pipeline protest convoy approaches Ottawa after rolling across country,2019-03-18,,,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,Israel,,,"Religious discrimination: Islamophobia, Xenophobia",,Hate speech: Rally/protest,
322,https://www.cbc.ca/news/canada/hamilton/paul-fromm-1.5061974,Hamilton police investigating after white nationalist posts suspected mosque shooter manifesto,2019-03-18,Ontario,Hamilton,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Xenophobia,,Hate speech: Other,
323,https://pressprogress.ca/ucp-candidate-complained-white-supremacist-terrorists-are-treated-unfairly-leaked-messages-show/,Jason Kenney’s UCP argued white supremacist terrorists face a double-standard compared to Islamic terrorists,2019-03-18,Alberta,Calgary,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Ethiopia,,,First Nations,,,,,,Politics,,
324,https://www.cbc.ca/news/canada/saskatchewan/arrest-history-moe-meili-1.5061894,Cabinet minister questions Sask. Priemier and party for attending yellow vest protests,2019-03-18,Saskatchewan,Regina,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,Pakistan,,Xenophobia,,Harassment: Carding,
325,https://calgaryherald.com/news/local-news/nenshi-offers-personal-angry-response-to-mosque-attack,"Nenshi offers personal, angry response to mosque attack",2019-03-18,Alberta,Calgary,,Non-Criminal,Female,,Black/African/Caribbean,Grenada,,,,,,,,Religious discrimination: Anti-Sikhism,Politics,,
326,https://www.newswire.ca/news-releases/chiefs-will-not-endorse-legislation-of-our-sacred-languages-832900866.html,FNs urge action with the United Nations Committee on the Elimination of Racial Discrimination,2019-03-18,Alberta,Onion Lake,,Criminal: Unknown,,,Indigenous,,,,Métis,,,,,"Religious discrimination: Islamophobia, Xenophobia",Online: Social media,,
327,https://www.cbc.ca/news/canada/kitchener-waterloo/racist-social-posts-waterloo-region-district-school-board-1.5024676,Two Waterloo region students told to stay home while police investigate racist social media posts,2019-03-19,Ontario,Waterloo,,Criminal: Charged,Female,,Black/African/Caribbean,Somalia,,,,,,,,Religious discrimination: Anti-Semitism,Online: Social media,Hate speech: Other,
328,https://edmontonjournal.com/news/local-news/alberta-muslim-public-affairs-council-calls-for-crackdown-on-canadian-alt-right-groups,Alberta Muslim Public Affairs Council calls for crackdown on Canadian alt-right groups,2019-03-19,Alberta,Edmonton,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,India,Philippines,Anti-2SLGBTQIA+,,Harassment: Other,
329,https://www.thepeterboroughexaminer.com/news-story/9230359-lynn-gehl-launches-weekly-protests-at-monsef-s-office-over-gender-discrimination-in-the-indian-act/,Lynn Gehl launches weekly protests at Monsef’s office over gender discrimination in the Indian Act,2019-03-19,Ontario,Peterborough,,Non-Criminal,,,Indigenous,,,,,,,,,Sexism,Educational institute: K-12,Hate speech: Imagery,
330,https://www.theglobeandmail.com/canada/article-sen-lynn-beyak-broke-senates-code-of-conduct-by-posting-racist/,"Sen. Lynn Beyak broke Senate’s code of conduct by posting racist letters about Indigenous people online, ethics officer says",2019-03-19,Ontario,Ottawa,,Criminal: Not charged,,,Indigenous,,,,,,,,,Xenophobia,"Online: Other, Politics",Hate speech: Letter/flyer,
331,https://www.burnabynow.com/news/burnaby-south-candidates-called-racist-liar-stupid-and-more-at-raucous-debate-1.23639937,"Burnaby South candidates called 'racist,' 'liar,' 'stupid' and more at raucous debate",2019-03-20,British Columbia,Burnaby,,Non-Criminal,,,Southeast Asian,,,,,,,,Philippines,Xenophobia,,Hate speech: Other,
332,https://www.vice.com/en_ca/article/a3bjb4/andrew-scheer-criticized-for-support-of-united-we-roll-convoy,Andrew Scheer Criticized For Support of United We Roll Convoy,2019-03-20,Ontario,Ottawa,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia",Online: Social media,,
333,https://www.thepeterboroughexaminer.com/news-story/9229793-peterborough-white-nationalist-kevin-goudreau-denies-posting-call-for-violence-in-wake-of-new-zealand-shooting/,Canadian neo-Nazis under investigation for posting call for violence after Christchurch terror attack,2019-03-20,Ontario,Peterborough,,Criminal: Not charged,"Female, Male",,South Asian,,,,,,,,,Religious discrimination: Islamophobia,,,
334,https://www.dailymail.co.uk/news/article-6830831/Student-wearing-MAGA-cap-New-Zealand-massacre-vigil-Canada-ripped-head.html,Student wearing a MAGA cap at a vigil for New Zealand mosque massacre victims in Canada has it ripped from his head by woman in a hijab as angry crowd chants 'get out',2019-03-20,Ontario,Toronto,,Non-Criminal,,,N/A,,,,,,,,,Religious discrimination: Islamophobia,Sports: Hockey,Harassment: Other,
335,https://www.vice.com/en_ca/article/eve9jj/alberta-muslim-council-urges-three-percenters-militia-to-be-placed-on-terror-list,Alberta Muslim Council Urges Three Percenters Militia To Be Placed On Terror List,2019-03-20,Alberta,Edmonton,,Non-Criminal,,,N/A,,,,,,,,,,Public space,,
336,https://www.theglobeandmail.com/politics/article-canadian-labour-congress-and-muslim-group-accuse-scheer-of-emboldening/,Canadian Labour Congress and Muslim group accuse Scheer of emboldening far-right actors,2019-03-21,Ontario,Ottawa,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,Palestine,,,Sexism,Educational institute: Post-secondary,Hate speech: Other,
337,https://www.680news.com/video/2019/03/21/scuffle-disrupts-anti-racism-rally-in-toronto/,Scuffle disrupts anti-racism rally in Toronto,2019-03-21,Ontario,Toronto,,Criminal: Not charged,,,"Central Asian, Middle Eastern",,Afghanistan,,,,Palestine,,,,Sports: Other,Vandalism,
338,https://www.ctvnews.ca/canada/it-s-shocking-alberta-politician-s-campaign-sign-defaced-with-racist-graffiti-1.4346956,It's shocking': Alberta politician's campaign sign defaced with racist graffiti,2019-03-21,Alberta,Calgary,,Criminal: Unknown,,,Latin American,,,,,Honduras,,,,,,Vandalism,
339,https://www.coastmountainnews.com/news/b-c-feds-accused-of-environmental-racism-over-site-c-mount-polley/,"B.C., feds accused of ‘environmental racism’ over Site C, Mount Polley",2019-03-21,British Columbia,Cariboo Region,Mount Polley,Non-Criminal,Female,,Indigenous,,,,,,,,,Religious discrimination: Islamophobia,"Environmental racism, Politics",,
340,https://www.thechronicleherald.ca/news/local/halifax-rally-targets-anti-immigration-policies-rhetoric-294085/,"Halifax rally targets anti-immigration policies, rhetoric",2019-03-21,Nova Scotia,Halifax,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,,,,
341,https://www.thestar.com/news/canada/2019/03/21/sir-john-a-macdonald-statue-vandalized-again-in-downtown-montreal.html,Sir John A. Macdonald statue vandalized again in downtown Montreal,2019-03-21,Quebec,Montreal,,Criminal: Unknown,,,N/A,,,,,,,,,,,Vandalism,
342,https://markets.businessinsider.com/news/stocks/government-of-canada-helps-muslim-neighbour-nexus-protect-against-hate-motivated-crimes-1027977015,Government of Canada helps fund Muslim mosque security system,2019-03-23,Ontario,Mississauga,,Non-Criminal,,,Latin American,,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
343,https://www.cbc.ca/news/canada/montreal/people-rally-against-racism-in-quebec-city-1.5069248,"People rally against racism in Quebec City, express support for New Zealand",2019-03-23,Quebec,Quebec City,,Non-Criminal,,,Latin American,,,,,,,,,,,Vandalism,
344,https://www.cbc.ca/news/canada/nova-scotia/racial-profiling-parliament-hill-anti-racism-training-security-1.5030583,Parliamentary Protective Service commits to anti-racism training,2019-03-24,Ontario,Ottawa,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,Sri Lanka,Indonesia,Religious discrimination: Anti-Semitism,,,
345,https://montreal.ctvnews.ca/i-m-not-racist-i-m-just-realistic-anjou-councillor-reproached-for-post-about-muslim-doctor-1.4349663,"I'm not racist, I'm just realistic': Anjou councillor reproached for post about Muslim doctor",2019-03-24,Quebec,Montreal,Anjou,Non-Criminal,Male,,Indigenous,,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
346,https://www.cbc.ca/news/canada/montreal/montrealers-take-to-the-streets-for-anti-racism-demonstration-1.5069234,Montrealers take to the streets for anti-racism demonstration,2019-03-24,Quebec,Montreal,,Non-Criminal,,,N/A,,,,,,,,,,,,
347,https://www.cbc.ca/news/canada/north/cooper-regel-potential-lawsuit-1.5071083,Inuit class-action lawsuit to allege racism in Canada's health-care system,2019-03-24,Nunavut,Iqaluit,,Criminal: Charged,,,Indigenous,,,,Inuit,,,,,Religious discrimination: Islamophobia,Healthcare/public health,,
348,https://www.cbc.ca/news/canada/montreal/quebec-hockey-player-and-his-family-taunted-by-racist-fans-1.5034645,Quebec hockey player and his family taunted by racist fans,2019-03-26,Quebec,Saint-Jérôme,,Criminal: Charged,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Other,Sports: Hockey,Hate speech: Other,
349,https://www.surreynowleader.com/news/b-c-shop-owners-to-keep-selling-controversial-golliwog-dolls/,shop owners to keep selling controversial ‘Golliwog’ dolls (black face dolls),2019-03-26,British Columbia,Surrey,,Non-Criminal,Female,,Black/African/Caribbean,Somalia,,,,,,,,,,,
350,https://www.cbc.ca/news/canada/montreal/levis-mosque-threat-letter-reporting-hate-crime-1.5071873,Lévis police investigating after mosque receives 'troubling' letter,2019-03-26,Quebec,Levis,,Criminal: Unknown,,,"Central Asian, Middle Eastern",,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Letter/flyer,
351,https://o.canada.com/pmn/news-pmn/canada-news-pmn/independent-probe-sought-in-heavy-handed-ticketing-attempt-by-montreal-subway-inspectors/wcm/70c48b66-83df-4222-b1f0-2dfec796d116,Independent probe sought in heavy-handed intervention by Montreal subway inspectors,2019-03-26,Quebec,Montreal,,Criminal: Not charged,,,Black/African/Caribbean,,,,,,,,,,Transit,,
352,https://globalnews.ca/news/5099771/freedom-conservative-party-candidates-resignation-islamophobia/,"Freedom Conservative Party asks 2 candidates to resign over anti-Islam, anti-immigrant ideas",2019-03-26,Alberta,Sylvan Lake,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Djibouti,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia",Politics,,
353,https://www.vice.com/en_ca/article/vbwaq9/christchurch-shooting-suspect-donated-to-a-far-right-group-active-in-canada,Christchurch Shooting Suspect Donated to a Far-Right Group Active in Canada,2019-03-27,Quebec,,,Criminal: Not charged,Female,,Black/African/Caribbean,South Africa,,,,,,,,,,,
354,https://thestarphoenix.com/news/local-news/ndp-signs-vandalized-with-swastikas-crude-language-in-central-edmonton/wcm/cff5498f-bd95-434f-9f7c-db24c57bf438,"NDP signs vandalized with swastikas, crude language in central Edmonton",2019-03-27,Alberta,Edmonton,,Criminal: Unknown,,,"South Asian, Southeast Asian",,,,,,,India,Thailand,Religious discrimination: Anti-Semitism,,Vandalism,
355,https://www.journalpioneer.com/news/canada/religious-symbols-groups-denounce-legalization-of-discrimination-in-quebec-295878/,Religious symbols: Groups denounce 'legalization of discrimination' in Quebec,2019-03-28,Quebec,,,Non-Criminal,,,Middle Eastern,,,,,,,,,"Religious discrimination: Anti-Sikhism, Religious discrimination: Islamophobia",Politics,,
356,https://www.cbc.ca/news/politics/tasker-lynn-beyak-carolyn-bennett-tweets-1.5075569,There is no racism in Canada': Beyak leaves controversial letters online as minister calls for action,2019-03-29,Ontario,Ottawa,,Criminal: Unknown,,,Indigenous,,,,,,,,,,"Online: Other, Politics",Hate speech: Letter/flyer,
357,https://www.cbc.ca/news/canada/nova-scotia/halifax-street-checks-racial-profiling-rally-1.5078428,Halifax residents call for stop to street checks after racial profiling report,2019-03-30,Nova Scotia,Halifax,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,Ethiopia,,,,,,,,,,,
358,https://www.castanet.net/edition/news-story-252852-101-.htm,former president of the Kelowna-Lake Country electoral district association for the upstart People's Party of Canada has resigned,2019-03-30,British Columbia,Kelowna,,Non-Criminal,,,Black/African/Caribbean,Eswatini,,,,,,,,Anti-2SLGBTQIA+,Politics,,
359,https://pressprogress.ca/ucp-candidate-promoted-far-right-conspiracy-claiming-the-united-nations-is-taking-control-of-canadas-borders/,UCP Candidate Promoted Far-Right Conspiracy Claiming the United Nations is Taking Control of Canada’s Borders,2019-03-31,Quebec,Lac Ste. Anne,,Non-Criminal,,,Middle Eastern,,,,,,,,,Xenophobia,Politics,,
360,https://www.thepostmillennial.com/two-british-columbia-organizers-resign-from-maxime-berniers-peoples-party-of-canada/,Two British Columbia organizers resign from Maxime Bernier’s People’s Party of Canada,2019-03-31,British Columbia,Vancouver,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,Xenophobia,Politics,Harassment: Racial profiling,
361,https://www.cbc.ca/news/canada/saskatchewan/rally-ruckus-moe-meili-1.5080537,"Saskatchewan NDP says Premier Scott Moe is sending a ""terrible message"" by attending and speaking at an anti-carbon tax rally later this week",2019-04-01,Saskatchewan,,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,,Philippines,Xenophobia,Politics,,
362,https://www.narcity.com/ca/bc/vancouver/news/police-are-investigating-racist-and-sexist-graffiti-found-at-canadian-elementary-school,Police Are Investigating Racist And Sexist Graffiti Found At Canadian Elementary School,2019-04-02,British Columbia,Langley,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,Religious discrimination: Anti-Semitism,Educational institute: K-12,Hate speech: Other,
363,https://nationalpost.com/news/canada/indigenous-music-awards-stands-by-contentious-nomination-in-face-of-boycott,"Indigenous Music Awards, facing boycott over cultural appropriation, stands by controversial nomination",2019-04-02,Manitoba,Winnipeg,,Non-Criminal,,,Indigenous,,,,,,,,,,,,
364,https://nationalpost.com/news/canada/i-had-a-front-row-seat-to-hate-and-was-physically-assaulted-the-liberal-washing-of-white-nationalism-2,"An academic expert on Islamophobia attended a ‘free-speech’ conference in Toronto, where she was assaulted after challenging speakers for promoting hatred against Muslims.",2019-04-02,Ontario,Toronto,,Non-Criminal,,,N/A,,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
365,https://www.castanet.net/news/Kelowna/252946/PPC-denies-racist-allegation,PPC denies racist allegation,2019-04-02,British Columbia,Kelowna,,Non-Criminal,,,Black/African/Caribbean,Anguilla,,,,,,,,Anti-2SLGBTQIA+,Politics,,
366,https://www.aljazeera.com/news/2019/04/canada-evicted-ottawa-residents-file-human-rights-complaint-190403155450092.html,Evicted Ottawa residents file human rights complaint,2019-04-03,Ontario,Ottawa,,Criminal: Charged,Female,,Black/African/Caribbean,St. Maarten,,,,,,,,Religious discrimination: Islamophobia,,,
367,https://www.princegeorgematters.com/local-news/prince-george-woman-raises-issues-of-racism-islamophobia-in-house-of-commons-1357829,"Prince George woman raises issues of racism, Islamophobia in House of Commons",2019-04-04,Ontario,Ottawa,,Non-Criminal,,,N/A,,,,,,,,,Xenophobia,Politics,Hate speech: Rally/protest,
368,https://www.lifesitenews.com/news/montreal-committee-imposes-anti-discrimination-clause-on-elected-officials,Montreal committee imposes ‘anti-discrimination clause’ on elected officials,2019-04-04,Quebec,Montreal,,Non-Criminal,,,Central Asian,,,,,,,,,,,,
369,https://www.cbc.ca/news/canada/edmonton/pride-centre-racism-transphobia-allegations-1.5088052,"Pride Centre of Edmonton addresses allegations of racism, transphobia",2019-04-07,Alberta,Edmonton,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Malawi,,,,,,,,Anti-2SLGBTQIA+,,Other,
370,https://www.barrietoday.com/around-ontario/beyond-local-hate-groups-targeting-high-school-students-experts-say-1365977,"Hate groups targeting high school students, experts say",2019-04-09,Ontario,Newmarket,,Non-Criminal,,,Southeast Asian,,,,,,,,Malaysia,,Educational institute: K-12,Hate speech: Other,
371,https://www.cbc.ca/news/canada/british-columbia/indigenous-fired-native-discrimination-1.5091404,Fired for not being Indigenous: B.C. man awarded damages from Aboriginal non-profit,2019-04-09,British Columbia,Vancouver,,Non-Criminal,,,Latin American,,,,,Ecuador,,,,Religious discrimination: Other,Protective services: Police,,
372,https://www.thestar.com/news/canada/2019/04/10/scheer-denounces-white-supremacy-after-conservative-senator-questions-threat.html,Scheer denounces white supremacy after Conservative senator questions threat,2019-04-10,Ontario,Ottawa,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,,Philippines,Religious discrimination: Other,Politics,,
373,https://www.cjnews.com/news/canada/muslim-professor-says-she-was-assaulted-at-conference,allegations of an assault against a Muslim professor at a recent conference,2019-04-11,Ontario,Waterloo,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,Maldives,,Religious discrimination: Islamophobia,,Harassment: Racial profiling,
374,https://globalnews.ca/news/5156658/montreal-valerie-plante-william-steinberg-ethnic-cleansing/,Hampstead mayor vows to no longer use ‘ethnic cleansing’ to describe Bill 21,2019-04-11,Quebec,Hampstead,,Non-Criminal,,,Southeast Asian,,,,,,,,Vietnam,Religious discrimination: Islamophobia,Politics,,
375,https://www.ctvnews.ca/sci-tech/facebook-faces-possible-class-action-lawsuit-in-canada-over-discriminatory-job-ads-1.4377460,Facebook faces possible class action lawsuit in Canada over discriminatory job ads,2019-04-12,Quebec,Montreal,,Criminal: Unknown,Male,,Indigenous,,,,,,,,,,Online: Social media,Other,
376,http://boxscorenews.com/taking-the-lead-the-roundtable-on-racism-in-hockey-p153118-68.htm,Roundtable on Racism in Hockey,2019-04-12,Ontario,Kingston,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,,,,Religious discrimination: Anti-Hinduism,Sports: Hockey,Hate speech: Other,
